Activity3.[Activity3],Demand Type.[Demand Type],Supplier.[Supplier Location],Version.[Version Name],Activity1.[Activity1],Activity2.[Activity2],Documents.[OrderlineID],Location.[Location],Time.[Week],Item.[Item],W Procurement Forecast Due to Forecast,W Procurement Forecast Due to Orders,W Procurement Forecast Intermediate with Demand Type Input To R,W Procurement Forecast With Demand Type,W Procurement Forecast With Demand Type within Lead Time
PROD,FIRM,Guangzhou Footwear,Baseline FY26,CUT,SEW,PO-74224,Greater China,2026-W14,NK-AP-ECT-3092,5123.778221053022,2195.9049518798665,7319.683172932889,7319.683172932889,3659.8415864664444
PROD,FIRM,Saigon Premium,Baseline FY26,CUT,SEW,PO-86357,Greater China,2026-W14,NK-AP-PDF-3887,6988.6039857919195,2995.1159939108225,9983.719979702742,9983.719979702742,4991.859989851371
PROD,FORECAST,Saigon Premium,Baseline FY26,CUT,SEW,PO-73133,North America,2026-W14,NK-BK-KD16-7095,6506.065360393957,2788.3137258831243,9294.379086277082,9294.379086277082,4647.189543138541
PROD,FIRM,Dhaka Garments,Baseline FY26,CUT,SEW,PO-41385,North America,2026-W14,NK-AP-ECT-9027,5288.046446437328,2266.305619901712,7554.35206633904,7554.35206633904,3777.17603316952
PROD,FORECAST,Saigon Premium,Baseline FY26,CUT,SEW,PO-27021,Greater China,2026-W14,NK-MT-9-1512,5386.395850751069,2308.455364607601,7694.85121535867,7694.85121535867,3847.425607679335
PROD,FORECAST,Jakarta Apparel,Baseline FY26,CUT,SEW,PO-64892,APLA,2026-W14,NK-AP-YLL-7229,3746.71509441439,1605.73504046331,5352.4501348777,5352.4501348777,2676.22506743885
PROD,FORECAST,Chennai Textiles,Baseline FY26,CUT,SEW,PO-70807,APLA,2026-W14,NK-AP-SFJ-4385,1935.5816530293048,829.5349941554164,2765.1166471847214,2765.1166471847214,1382.5583235923607
PROD,FIRM,Saigon Premium,Baseline FY26,CUT,SEW,PO-65875,EMEA,2026-W14,NK-AP-YLL-4689,6783.842668040337,2907.361143445859,9691.203811486197,9691.203811486197,4845.6019057430985
PROD,FORECAST,Saigon Premium,Baseline FY26,CUT,SEW,PO-78472,North America,2026-W14,NK-AP-ACG-7448,811.1379544646313,347.6305519134134,1158.7685063780448,1158.7685063780448,579.3842531890224
PROD,FORECAST,Monterrey Logistics,Baseline FY26,CUT,SEW,PO-34794,APLA,2026-W14,NK-BZ-77-3400,4670.828873894727,2001.7838030977402,6672.612676992468,6672.612676992468,3336.306338496234
PROD,FIRM,Guangzhou Footwear,Baseline FY26,CUT,SEW,PO-85857,North America,2026-W14,NK-AP-ECT-2123,3174.5833823617145,1360.5357352978776,4535.119117659592,4535.119117659592,2267.559558829796
PROD,FORECAST,Monterrey Logistics,Baseline FY26,CUT,SEW,PO-32386,EMEA,2026-W14,NK-AP-IC-6610,3994.443402975346,1711.9043155608626,5706.347718536209,5706.347718536209,2853.1738592681045
PROD,FIRM,Jakarta Apparel,Baseline FY26,CUT,SEW,PO-99662,Greater China,2026-W14,NK-SB-DLP-4046,2442.9887410612746,1046.9951747405464,3489.9839158018212,3489.9839158018212,1744.9919579009106
PROD,FIRM,Jakarta Apparel,Baseline FY26,CUT,SEW,PO-73482,North America,2026-W14,NK-BK-KD16-2118,5250.81315392663,2250.348494539984,7501.161648466614,7501.161648466614,3750.580824233307
PROD,FIRM,Monterrey Logistics,Baseline FY26,CUT,SEW,PO-30052,APLA,2026-W14,NK-AP-ECT-2663,4328.273187652901,1854.9742232798144,6183.247410932715,6183.247410932715,3091.6237054663575
PROD,FIRM,Saigon Premium,Baseline FY26,CUT,SEW,PO-12262,Greater China,2026-W14,NK-AP-TJ-9647,5734.7827245003145,2457.7640247858494,8192.546749286164,8192.546749286164,4096.273374643082
PROD,FIRM,Dhaka Garments,Baseline FY26,CUT,SEW,PO-74115,Greater China,2026-W14,NK-MT-9-6386,5753.965735036413,2465.9853150156055,8219.95105005202,8219.95105005202,4109.97552502601
PROD,FIRM,Guangzhou Footwear,Baseline FY26,CUT,SEW,PO-96071,Greater China,2026-W14,NK-AM-270-8016,4342.220890932862,1860.951810399798,6203.17270133266,6203.17270133266,3101.58635066633
PROD,FORECAST,Guangzhou Footwear,Baseline FY26,CUT,SEW,PO-57640,North America,2026-W14,NK-AP-PDF-3581,5160.298623704706,2211.5565530163026,7371.855176721009,7371.855176721009,3685.9275883605046
PROD,FIRM,Guangzhou Footwear,Baseline FY26,CUT,SEW,PO-41986,EMEA,2026-W14,NK-MT-9-4383,4263.480892820727,1827.2060969231686,6090.6869897438955,6090.6869897438955,3045.3434948719478
PROD,FORECAST,Jakarta Apparel,Baseline FY26,CUT,SEW,PO-53938,North America,2026-W14,NK-AP-PDF-4891,4236.351389971209,1815.579167130518,6051.930557101727,6051.930557101727,3025.9652785508633
PROD,FORECAST,Chennai Textiles,Baseline FY26,CUT,SEW,PO-17975,North America,2026-W14,NK-RA-RM-6656,2253.009980474383,965.5757059175928,3218.585686391976,3218.585686391976,1609.292843195988
PROD,FIRM,Jakarta Apparel,Baseline FY26,CUT,SEW,PO-96070,North America,2026-W14,NK-AM-PLS-5134,1373.3621385247811,588.5837736534776,1961.9459121782588,1961.9459121782588,980.9729560891294
PROD,FORECAST,Dhaka Garments,Baseline FY26,CUT,SEW,PO-17891,Greater China,2026-W14,NK-AM-270-4775,3815.420268784095,1635.1801151931834,5450.600383977278,5450.600383977278,2725.300191988639
PROD,FORECAST,Monterrey Logistics,Baseline FY26,CUT,SEW,PO-92191,Greater China,2026-W14,NK-SB-DLP-5754,1435.2980512466918,615.1277362485822,2050.425787495274,2050.425787495274,1025.212893747637
PROD,FORECAST,Saigon Premium,Baseline FY26,CUT,SEW,PO-39191,North America,2026-W14,NK-AP-ECT-4364,4190.05623936033,1795.7383882972845,5985.794627657615,5985.794627657615,2992.8973138288075
PROD,FIRM,Dhaka Garments,Baseline FY26,CUT,SEW,PO-83637,APLA,2026-W14,NK-AP-YLL-9083,3421.2796639740695,1466.2627131317442,4887.542377105814,4887.542377105814,2443.771188552907
PROD,FORECAST,Monterrey Logistics,Baseline FY26,CUT,SEW,PO-43070,North America,2026-W14,NK-AM-PLS-9562,2193.9894310574427,940.2811847389041,3134.270615796347,3134.270615796347,1567.1353078981736
PROD,FORECAST,Dhaka Garments,Baseline FY26,CUT,SEW,PO-35811,North America,2026-W14,NK-AP-IC-5501,6696.194779107653,2869.7977624747086,9565.992541582362,9565.992541582362,4782.996270791181
PROD,FORECAST,Jakarta Apparel,Baseline FY26,CUT,SEW,PO-21060,Greater China,2026-W14,NK-RA-RW-6250,5940.851278343716,2546.0791192901643,8486.930397633882,8486.930397633882,4243.465198816941
PROD,FORECAST,Dhaka Garments,Baseline FY26,CUT,SEW,PO-92031,APLA,2026-W14,NK-AP-ACG-1410,2465.9141820038813,1056.8203637159493,3522.7345457198307,3522.7345457198307,1761.3672728599154
PROD,FORECAST,Dhaka Garments,Baseline FY26,CUT,SEW,PO-26501,North America,2026-W14,NK-CV-L-8459,1869.1445764059233,801.0619613168243,2670.2065377227477,2670.2065377227477,1335.1032688613739
PROD,FORECAST,Monterrey Logistics,Baseline FY26,CUT,SEW,PO-31845,APLA,2026-W14,NK-AP-IC-2700,3069.9912962052003,1315.7105555165144,4385.701851721715,4385.701851721715,2192.8509258608574
PROD,FIRM,Jakarta Apparel,Baseline FY26,CUT,SEW,PO-78384,EMEA,2026-W14,NK-AP-ECT-7766,6112.816317461676,2619.7784217692897,8732.594739230966,8732.594739230966,4366.297369615483
PROD,FORECAST,Saigon Premium,Baseline FY26,CUT,SEW,PO-42449,Greater China,2026-W14,NK-BZ-77-7105,2897.749677361942,1241.8927188694036,4139.642396231346,4139.642396231346,2069.821198115673
PROD,FIRM,Monterrey Logistics,Baseline FY26,CUT,SEW,PO-96065,North America,2026-W14,NK-SB-DLP-7122,2241.3279280006145,960.5691120002633,3201.897040000878,3201.897040000878,1600.948520000439
PROD,FIRM,Monterrey Logistics,Baseline FY26,CUT,SEW,PO-69234,Greater China,2026-W14,NK-AP-PDF-1609,2193.963138896427,940.2699166698974,3134.2330555663248,3134.2330555663248,1567.1165277831624
PROD,FIRM,Jakarta Apparel,Baseline FY26,CUT,SEW,PO-72091,Greater China,2026-W14,NK-BZ-77-1804,5923.501361956894,2538.643440838669,8462.144802795563,8462.144802795563,4231.0724013977815
PROD,FIRM,Jakarta Apparel,Baseline FY26,CUT,SEW,PO-61835,North America,2026-W14,NK-AP-TJ-9647,4447.327010713237,1905.9972903056728,6353.32430101891,6353.32430101891,3176.662150509455
PROD,FIRM,Dhaka Garments,Baseline FY26,CUT,SEW,PO-35662,EMEA,2026-W14,NK-ZP-40-2166,1812.4731040258234,776.7741874396387,2589.2472914654622,2589.2472914654622,1294.6236457327311
PROD,FORECAST,Jakarta Apparel,Baseline FY26,CUT,SEW,PO-27925,Greater China,2026-W14,NK-AP-IC-2906,3394.3611208089305,1454.7261946323988,4849.087315441329,4849.087315441329,2424.5436577206647
PROD,FIRM,Guangzhou Footwear,Baseline FY26,CUT,SEW,PO-92399,North America,2026-W14,NK-CV-L-8020,3132.5215550400353,1342.5092378743009,4475.030792914336,4475.030792914336,2237.515396457168
PROD,FIRM,Guangzhou Footwear,Baseline FY26,CUT,SEW,PO-15369,EMEA,2026-W14,NK-AP-ECT-9824,1327.483463549902,568.9214843785294,1896.4049479284313,1896.4049479284313,948.2024739642156
PROD,FORECAST,Saigon Premium,Baseline FY26,CUT,SEW,PO-93285,EMEA,2026-W14,NK-AM-90-7160,4117.454599927772,1764.623399969045,5882.077999896817,5882.077999896817,2941.0389999484087
PROD,FIRM,Guangzhou Footwear,Baseline FY26,CUT,SEW,PO-77173,EMEA,2026-W14,NK-IV-3-2027,3141.239738772795,1346.245602331198,4487.485341103993,4487.485341103993,2243.7426705519965
PROD,FORECAST,Monterrey Logistics,Baseline FY26,CUT,SEW,PO-91688,APLA,2026-W14,NK-RA-RM-3810,2089.413640428878,895.4629887552334,2984.876629184111,2984.876629184111,1492.4383145920556
PROD,FORECAST,Saigon Premium,Baseline FY26,CUT,SEW,PO-70462,Greater China,2026-W14,NK-AP-IC-1561,2744.100934787375,1176.0432577660179,3920.144192553393,3920.144192553393,1960.0720962766966
PROD,FORECAST,Monterrey Logistics,Baseline FY26,CUT,SEW,PO-24099,APLA,2026-W14,NK-AP-ACG-8744,6552.478842329271,2808.2052181411163,9360.684060470388,9360.684060470388,4680.342030235194
PROD,FIRM,Dhaka Garments,Baseline FY26,CUT,SEW,PO-38888,Greater China,2026-W14,NK-AP-YLL-1388,5763.319726607331,2469.9941685459994,8233.313895153331,8233.313895153331,4116.6569475766655
PROD,FORECAST,Monterrey Logistics,Baseline FY26,CUT,SEW,PO-84903,APLA,2026-W14,NK-AP-PDF-1075,2959.7035797730623,1268.4443913313123,4228.147971104375,4228.147971104375,2114.0739855521874
PROD,FIRM,Monterrey Logistics,Baseline FY26,CUT,SEW,PO-47498,APLA,2026-W14,NK-AM-270-5631,2334.064596113636,1000.3133983344154,3334.3779944480516,3334.3779944480516,1667.1889972240258
PROD,FORECAST,Chennai Textiles,Baseline FY26,CUT,SEW,PO-59032,North America,2026-W14,NK-AP-IC-9956,5157.024062083116,2210.1531694641926,7367.177231547309,7367.177231547309,3683.5886157736545
PROD,FIRM,Saigon Premium,Baseline FY26,CUT,SEW,PO-51247,Greater China,2026-W14,NK-AM-PLS-4781,4013.665077840724,1720.142176217453,5733.807254058177,5733.807254058177,2866.9036270290885
PROD,FIRM,Monterrey Logistics,Baseline FY26,CUT,SEW,PO-59671,EMEA,2026-W14,NK-AP-SFJ-7363,1441.0509874507857,617.593280336051,2058.6442677868367,2058.6442677868367,1029.3221338934184
PROD,FIRM,Dhaka Garments,Baseline FY26,CUT,SEW,PO-59617,EMEA,2026-W14,NK-AP-SFJ-9870,3765.9830876393135,1613.9927518454201,5379.975839484734,5379.975839484734,2689.987919742367
PROD,FORECAST,Chennai Textiles,Baseline FY26,CUT,SEW,PO-83030,EMEA,2026-W14,NK-RT-3-6708,2057.9230293432793,881.9670125756911,2939.8900419189704,2939.8900419189704,1469.9450209594852
PROD,FORECAST,Jakarta Apparel,Baseline FY26,CUT,SEW,PO-18414,North America,2026-W14,NK-BK-L21-8065,2440.0693075094996,1045.7439889326427,3485.8132964421425,3485.8132964421425,1742.9066482210712
PROD,FIRM,Jakarta Apparel,Baseline FY26,CUT,SEW,PO-39814,North America,2026-W14,NK-IV-3-4066,2334.6198411040364,1000.5513604731584,3335.171201577195,3335.171201577195,1667.5856007885975
PROD,FIRM,Monterrey Logistics,Baseline FY26,CUT,SEW,PO-45042,APLA,2026-W14,NK-MT-9-2690,3563.685627775804,1527.2938404753445,5090.979468251148,5090.979468251148,2545.489734125574
PROD,FIRM,Saigon Premium,Baseline FY26,CUT,SEW,PO-62708,EMEA,2026-W14,NK-MT-9-1455,6083.1240885063235,2607.0531807884245,8690.177269294749,8690.177269294749,4345.088634647374
PROD,FORECAST,Chennai Textiles,Baseline FY26,CUT,SEW,PO-58937,Greater China,2026-W14,NK-CV-L-9876,1562.8315307592427,669.7849417539611,2232.616472513204,2232.616472513204,1116.308236256602
PROD,FIRM,Chennai Textiles,Baseline FY26,CUT,SEW,PO-43718,North America,2026-W14,NK-RA-RM-6356,4428.358296025816,1897.8678411539215,6326.2261371797385,6326.2261371797385,3163.1130685898693
PROD,FIRM,Dhaka Garments,Baseline FY26,CUT,SEW,PO-41495,North America,2026-W14,NK-AP-IC-6034,6685.7917639370635,2865.3393274015984,9551.131091338662,9551.131091338662,4775.565545669331
PROD,FORECAST,Saigon Premium,Baseline FY26,CUT,SEW,PO-18144,North America,2026-W14,NK-VF-3-5959,4232.741656257164,1814.0321383959276,6046.773794653092,6046.773794653092,3023.386897326546
PROD,FORECAST,Chennai Textiles,Baseline FY26,CUT,SEW,PO-61659,EMEA,2026-W14,NK-RA-RM-1862,4530.128347508604,1941.4835775036872,6471.611925012291,6471.611925012291,3235.8059625061455
PROD,FIRM,Dhaka Garments,Baseline FY26,CUT,SEW,PO-48402,Greater China,2026-W14,NK-RA-RM-8813,5514.889190951188,2363.5239389790804,7878.413129930269,7878.413129930269,3939.2065649651345
PROD,FIRM,Jakarta Apparel,Baseline FY26,CUT,SEW,PO-23240,North America,2026-W14,NK-VF-3-9057,3643.9229131304346,1561.681248484472,5205.604161614907,5205.604161614907,2602.8020808074534
PROD,FORECAST,Guangzhou Footwear,Baseline FY26,CUT,SEW,PO-97821,Greater China,2026-W14,NK-BK-KD16-2340,4892.433722579356,2096.757309676867,6989.1910322562235,6989.1910322562235,3494.5955161281117
PROD,FIRM,Guangzhou Footwear,Baseline FY26,CUT,SEW,PO-19660,APLA,2026-W14,NK-AP-ACG-8270,1707.4744935179917,731.7747829362821,2439.249276454274,2439.249276454274,1219.624638227137
PROD,FIRM,Guangzhou Footwear,Baseline FY26,CUT,SEW,PO-71808,EMEA,2026-W14,NK-AP-IC-2913,2710.6766685221814,1161.718572223792,3872.3952407459738,3872.3952407459738,1936.1976203729869
PROD,FORECAST,Dhaka Garments,Baseline FY26,CUT,SEW,PO-99173,North America,2026-W14,NK-MT-9-4819,969.6103768712245,415.5473043733819,1385.1576812446065,1385.1576812446065,692.5788406223032
PROD,FORECAST,Dhaka Garments,Baseline FY26,CUT,SEW,PO-87368,Greater China,2026-W14,NK-RA-RM-8496,5140.504282588375,2203.073263966446,7343.577546554821,7343.577546554821,3671.7887732774107
PROD,FORECAST,Saigon Premium,Baseline FY26,CUT,SEW,PO-27362,APLA,2026-W14,NK-AM-PLS-4938,2535.3706887827116,1086.5874380497337,3621.9581268324455,3621.9581268324455,1810.9790634162227
PROD,FORECAST,Jakarta Apparel,Baseline FY26,CUT,SEW,PO-79166,EMEA,2026-W14,NK-AP-ACG-1513,3725.8370732601284,1596.7873171114836,5322.624390371612,5322.624390371612,2661.312195185806
PROD,FIRM,Saigon Premium,Baseline FY26,CUT,SEW,PO-65429,EMEA,2026-W14,NK-AP-SFJ-6199,5423.102927454483,2324.186968909064,7747.289896363547,7747.289896363547,3873.6449481817735
PROD,FIRM,Monterrey Logistics,Baseline FY26,CUT,SEW,PO-15122,Greater China,2026-W14,NK-BK-JA1-2770,6991.872621921358,2996.516837966296,9988.389459887654,9988.389459887654,4994.194729943827
PROD,FIRM,Guangzhou Footwear,Baseline FY26,CUT,SEW,PO-28570,Greater China,2026-W14,NK-AP-PDF-5744,1826.7156659754096,782.8781425608898,2609.5938085362995,2609.5938085362995,1304.7969042681498
PROD,FORECAST,Dhaka Garments,Baseline FY26,CUT,SEW,PO-60021,APLA,2026-W14,NK-AM-270-5812,891.7901992697743,382.1957996870462,1273.9859989568206,1273.9859989568206,636.9929994784103
PROD,FIRM,Guangzhou Footwear,Baseline FY26,CUT,SEW,PO-45267,APLA,2026-W14,NK-RA-RW-2811,1490.3297834202797,638.712764322977,2129.042547743257,2129.042547743257,1064.5212738716284
PROD,FIRM,Dhaka Garments,Baseline FY26,CUT,SEW,PO-37633,North America,2026-W14,NK-RA-RW-2908,4065.936269209485,1742.5441153754937,5808.480384584979,5808.480384584979,2904.2401922924896
PROD,FORECAST,Chennai Textiles,Baseline FY26,CUT,SEW,PO-94159,EMEA,2026-W14,NK-AP-IC-7162,3920.1114964209273,1680.0477841803975,5600.159280601325,5600.159280601325,2800.0796403006625
PROD,FIRM,Dhaka Garments,Baseline FY26,CUT,SEW,PO-19979,Greater China,2026-W14,NK-VF-3-1799,6636.903867170716,2844.387371644593,9481.291238815309,9481.291238815309,4740.6456194076545
PROD,FIRM,Guangzhou Footwear,Baseline FY26,CUT,SEW,PO-45761,North America,2026-W14,NK-AP-ACG-7047,5305.898525121388,2273.9565107663093,7579.855035887697,7579.855035887697,3789.9275179438487
PROD,FORECAST,Dhaka Garments,Baseline FY26,CUT,SEW,PO-13734,North America,2026-W14,NK-MT-9-3812,1455.3232985016834,623.7099850721501,2079.0332835738336,2079.0332835738336,1039.5166417869168
PROD,FIRM,Monterrey Logistics,Baseline FY26,CUT,SEW,PO-85986,Greater China,2026-W14,NK-AP-ECT-6391,1146.2821750832557,491.26378932139534,1637.5459644046512,1637.5459644046512,818.7729822023256
PROD,FORECAST,Saigon Premium,Baseline FY26,CUT,SEW,PO-46157,North America,2026-W14,NK-AP-IC-2914,4491.252543707789,1924.82251873191,6416.0750624397,6416.0750624397,3208.03753121985
PROD,FORECAST,Dhaka Garments,Baseline FY26,CUT,SEW,PO-87511,EMEA,2026-W14,NK-CV-L-1397,4467.889762497407,1914.8098982131746,6382.699660710582,6382.699660710582,3191.349830355291
PROD,FIRM,Guangzhou Footwear,Baseline FY26,CUT,SEW,PO-11762,EMEA,2026-W14,NK-BK-KD16-1834,6130.828433654071,2627.497900137459,8758.32633379153,8758.32633379153,4379.163166895765
PROD,FORECAST,Guangzhou Footwear,Baseline FY26,CUT,SEW,PO-62019,EMEA,2026-W14,NK-AP-ECT-4843,3712.4821501746414,1591.063778646275,5303.545928820917,5303.545928820917,2651.7729644104584
PROD,FIRM,Dhaka Garments,Baseline FY26,CUT,SEW,PO-46210,Greater China,2026-W14,NK-AP-ACG-5442,3052.1078082153285,1308.046203520855,4360.154011736184,4360.154011736184,2180.077005868092
PROD,FIRM,Monterrey Logistics,Baseline FY26,CUT,SEW,PO-36004,Greater China,2026-W14,NK-JD-SL3-5603,6392.915722058291,2739.8210237392677,9132.73674579756,9132.73674579756,4566.36837289878
PROD,FORECAST,Monterrey Logistics,Baseline FY26,CUT,SEW,PO-30721,Greater China,2026-W14,NK-AP-ECT-7766,3057.30274482865,1310.272604926564,4367.575349755214,4367.575349755214,2183.787674877607
PROD,FORECAST,Monterrey Logistics,Baseline FY26,CUT,SEW,PO-44465,Greater China,2026-W14,NK-AM-PLS-6452,1341.2124981190645,574.805356336742,1916.0178544558066,1916.0178544558066,958.0089272279033
PROD,FORECAST,Guangzhou Footwear,Baseline FY26,CUT,SEW,PO-79875,APLA,2026-W14,NK-BZ-77-3498,821.659104764079,352.1396163274624,1173.7987210915414,1173.7987210915414,586.8993605457707
PROD,FORECAST,Jakarta Apparel,Baseline FY26,CUT,SEW,PO-31046,EMEA,2026-W14,NK-BK-L21-4311,5359.261212967378,2296.8262341288764,7656.087447096254,7656.087447096254,3828.043723548127
PROD,FORECAST,Guangzhou Footwear,Baseline FY26,CUT,SEW,PO-72266,Greater China,2026-W14,NK-RA-RM-9372,4551.828066393864,1950.7834570259417,6502.611523419806,6502.611523419806,3251.305761709903
PROD,FIRM,Saigon Premium,Baseline FY26,CUT,SEW,PO-33914,North America,2026-W14,NK-BK-JA1-3515,6088.698065690588,2609.4420281531093,8698.140093843698,8698.140093843698,4349.070046921849
PROD,FORECAST,Monterrey Logistics,Baseline FY26,CUT,SEW,PO-31536,EMEA,2026-W14,NK-AP-SFJ-4802,6276.98455594261,2690.1362382611187,8967.120794203729,8967.120794203729,4483.5603971018645
PROD,FORECAST,Saigon Premium,Baseline FY26,CUT,SEW,PO-86106,North America,2026-W14,NK-MT-9-4819,908.6500034702068,389.42143005866006,1298.071433528867,1298.071433528867,649.0357167644335
PROD,FIRM,Chennai Textiles,Baseline FY26,CUT,SEW,PO-38355,APLA,2026-W14,NK-CV-L-5684,1849.0267873962628,792.4400517412555,2641.4668391375185,2641.4668391375185,1320.7334195687592
PROD,FIRM,Dhaka Garments,Baseline FY26,CUT,SEW,PO-94397,North America,2026-W14,NK-BK-JA1-3475,2388.4755944587064,1023.6323976251599,3412.1079920838665,3412.1079920838665,1706.0539960419333
PROD,FIRM,Dhaka Garments,Baseline FY26,CUT,SEW,PO-71277,EMEA,2026-W14,NK-CV-L-1412,3412.8076959863783,1462.6318697084478,4875.439565694826,4875.439565694826,2437.719782847413
PROD,FORECAST,Monterrey Logistics,Baseline FY26,CUT,SEW,PO-46732,Greater China,2026-W14,NK-AP-PDF-7276,2828.6786505819487,1212.2908502494067,4040.9695008313556,4040.9695008313556,2020.4847504156778
PROD,FORECAST,Monterrey Logistics,Baseline FY26,CUT,SEW,PO-93613,EMEA,2026-W14,NK-VF-3-5350,1446.8804840046575,620.0916360019961,2066.9721200066538,2066.9721200066538,1033.4860600033269
PROD,FORECAST,Saigon Premium,Baseline FY26,CUT,SEW,PO-37748,Greater China,2026-W14,NK-AP-ECT-6078,5183.540103565208,2221.517187242232,7405.05729080744,7405.05729080744,3702.52864540372
PROD,FIRM,Dhaka Garments,Baseline FY26,CUT,SEW,PO-70509,Greater China,2026-W14,NK-AP-TJ-5920,6114.200709547521,2620.3717326632236,8734.572442210745,8734.572442210745,4367.2862211053725
PROD,FORECAST,Jakarta Apparel,Baseline FY26,CUT,SEW,PO-21548,EMEA,2026-W14,NK-SB-DLP-4552,5341.343761284369,2289.1473262647296,7630.491087549099,7630.491087549099,3815.2455437745493
PROD,FORECAST,Chennai Textiles,Baseline FY26,CUT,SEW,PO-30397,APLA,2026-W14,NK-RT-3-7467,795.8440987820977,341.07604233518475,1136.9201411172826,1136.9201411172826,568.4600705586413
PROD,FORECAST,Dhaka Garments,Baseline FY26,CUT,SEW,PO-95147,North America,2026-W14,NK-RA-RW-3476,4295.635833162858,1840.986785641225,6136.622618804084,6136.622618804084,3068.311309402042
PROD,FIRM,Dhaka Garments,Baseline FY26,CUT,SEW,PO-93658,North America,2026-W14,NK-VF-3-9175,2046.0596776559191,876.8827189953939,2922.942396651313,2922.942396651313,1461.4711983256566
PROD,FIRM,Jakarta Apparel,Baseline FY26,CUT,SEW,PO-38774,APLA,2026-W14,NK-AM-90-6034,921.76317288476,395.0413598077543,1316.8045326925144,1316.8045326925144,658.4022663462572
PROD,FORECAST,Saigon Premium,Baseline FY26,CUT,SEW,PO-61986,Greater China,2026-W14,NK-BZ-77-2517,6821.9531171935,2923.6941930829285,9745.647310276428,9745.647310276428,4872.823655138214
PROD,FIRM,Jakarta Apparel,Baseline FY26,CUT,SEW,PO-97835,North America,2026-W14,NK-RT-3-8143,3144.798514113493,1347.7707917629257,4492.569305876419,4492.569305876419,2246.2846529382095
PROD,FORECAST,Jakarta Apparel,Baseline FY26,CUT,SEW,PO-26559,North America,2026-W14,NK-IV-3-2556,4852.325359882516,2079.568011378221,6931.893371260737,6931.893371260737,3465.9466856303684
PROD,FIRM,Dhaka Garments,Baseline FY26,CUT,SEW,PO-22596,APLA,2026-W14,NK-ZP-40-3353,3735.73984798773,1601.031363423313,5336.771211411044,5336.771211411044,2668.385605705522
PROD,FIRM,Dhaka Garments,Baseline FY26,CUT,SEW,PO-30119,APLA,2026-W14,NK-IV-3-2027,2994.673279559812,1283.4314055256336,4278.104685085445,4278.104685085445,2139.0523425427227
PROD,FIRM,Dhaka Garments,Baseline FY26,CUT,SEW,PO-51796,Greater China,2026-W14,NK-AP-ECT-5104,4408.695144707766,1889.4407763033284,6298.135921011095,6298.135921011095,3149.0679605055475
PROD,FORECAST,Guangzhou Footwear,Baseline FY26,CUT,SEW,PO-27939,Greater China,2026-W14,NK-BK-KD16-5969,4328.3110506802595,1854.99045029154,6183.3015009718,6183.3015009718,3091.6507504859
PROD,FIRM,Jakarta Apparel,Baseline FY26,CUT,SEW,PO-95415,North America,2026-W14,NK-RT-3-8143,2983.5529683075474,1278.6655578460918,4262.21852615364,4262.21852615364,2131.10926307682
PROD,FORECAST,Guangzhou Footwear,Baseline FY26,CUT,SEW,PO-16954,APLA,2026-W14,NK-BK-JA1-6280,1132.3824335353788,485.30675722944807,1617.689190764827,1617.689190764827,808.8445953824134
PROD,FORECAST,Chennai Textiles,Baseline FY26,CUT,SEW,PO-47515,APLA,2026-W14,NK-AP-PDF-8706,2578.096756181796,1104.8986097921984,3682.995365973995,3682.995365973995,1841.4976829869975
PROD,FIRM,Jakarta Apparel,Baseline FY26,CUT,SEW,PO-97562,APLA,2026-W14,NK-AP-SFJ-6481,4146.8160062668485,1777.2068598286494,5924.022866095498,5924.022866095498,2962.011433047749
PROD,FORECAST,Jakarta Apparel,Baseline FY26,CUT,SEW,PO-18442,North America,2026-W14,NK-CV-L-7849,721.8194932719408,309.3512114022604,1031.1707046742013,1031.1707046742013,515.5853523371006
PROD,FORECAST,Saigon Premium,Baseline FY26,CUT,SEW,PO-68219,Greater China,2026-W14,NK-AP-ECT-3138,5878.585669942631,2519.393858546842,8397.979528489474,8397.979528489474,4198.989764244737
PROD,FIRM,Chennai Textiles,Baseline FY26,CUT,SEW,PO-29607,Greater China,2026-W14,NK-AP-TJ-2315,1721.820963360274,737.9232700115459,2459.74423337182,2459.74423337182,1229.87211668591
PROD,FIRM,Chennai Textiles,Baseline FY26,CUT,SEW,PO-50277,Greater China,2026-W14,NK-AM-PLS-4781,1629.7443731387964,698.4618742023414,2328.206247341138,2328.206247341138,1164.103123670569
PROD,FORECAST,Jakarta Apparel,Baseline FY26,CUT,SEW,PO-98854,Greater China,2026-W14,NK-AM-90-6971,2532.1479969121715,1085.2062843909307,3617.3542813031027,3617.3542813031027,1808.6771406515513
PROD,FIRM,Saigon Premium,Baseline FY26,CUT,SEW,PO-34113,EMEA,2026-W14,NK-AP-SFJ-2334,4517.5042550482485,1936.073252163535,6453.577507211784,6453.577507211784,3226.788753605892
PROD,FIRM,Dhaka Garments,Baseline FY26,CUT,SEW,PO-13784,APLA,2026-W14,NK-AP-YLL-3833,6648.153540217627,2849.2086600932685,9497.362200310896,9497.362200310896,4748.681100155448
PROD,FIRM,Jakarta Apparel,Baseline FY26,CUT,SEW,PO-50769,EMEA,2026-W14,NK-RA-RM-7808,5579.257847590634,2391.1105061102717,7970.3683537009065,7970.3683537009065,3985.1841768504532
